image_id,filename,relative_path,width_px,height_px,aspect_ratio,orientation,format_class,creative_family_guess,dominant_motif_guess,headline_style_guess,cta_style_guess,palette_guess,status
img_047,1080x1920___SafeZone-13-6536e83f-e586-4b87-96f5-d379327fb044.png,00_source_images/1080x1920___SafeZone-13-6536e83f-e586-4b87-96f5-d379327fb044.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_048,1080x1920___SafeZone-14-b204cd0b-95b9-4afa-866d-8933b023adbf.png,00_source_images/1080x1920___SafeZone-14-b204cd0b-95b9-4afa-866d-8933b023adbf.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_049,1080x1920___SafeZone-15-26920471-cff5-4fad-8eef-2c02086d27c4.png,00_source_images/1080x1920___SafeZone-15-26920471-cff5-4fad-8eef-2c02086d27c4.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_050,1080x1920___SafeZone-16-d2f64c0f-207a-4fc8-b93e-2d710f0659eb.png,00_source_images/1080x1920___SafeZone-16-d2f64c0f-207a-4fc8-b93e-2d710f0659eb.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_051,1080x1920___SafeZone-3-eac58c7e-eafe-4aa1-b7e3-50d7220040c1.png,00_source_images/1080x1920___SafeZone-3-eac58c7e-eafe-4aa1-b7e3-50d7220040c1.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_052,1080x1920___SafeZone-4-5de0c300-c03d-4165-b55d-81fbfbe68af8.png,00_source_images/1080x1920___SafeZone-4-5de0c300-c03d-4165-b55d-81fbfbe68af8.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_053,1080x1920___SafeZone-4bd6639a-6c18-48a1-85c7-cff25e3d8778.png,00_source_images/1080x1920___SafeZone-4bd6639a-6c18-48a1-85c7-cff25e3d8778.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_054,1080x1920___SafeZone-5-421963c1-5799-4373-a9b6-da1fadb81729.png,00_source_images/1080x1920___SafeZone-5-421963c1-5799-4373-a9b6-da1fadb81729.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_055,1080x1920___SafeZone-6-b78324f3-1ae5-4d0d-a291-32212a302b43.png,00_source_images/1080x1920___SafeZone-6-b78324f3-1ae5-4d0d-a291-32212a302b43.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_056,1080x1920___SafeZone-7-754c8af7-1023-4d54-b39a-61da85d8635c.png,00_source_images/1080x1920___SafeZone-7-754c8af7-1023-4d54-b39a-61da85d8635c.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
